GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
0500000US47067,47067,"Hancock County, Tennessee",4776,29,1092,152,2033,208,1164,157,273,88,214,71,4335,134,927,144,1866,224,1100,157,249,90,193,67,231,75,85,36,94,46,29,21,21,25,2,5,145,75,68,44,58,45,16,14,3,5,0,17,39,39,12,18,0,17,8,11,0,17,19,25,26,27,0,17,15,19,11,17,0,17,0,17
0500000US47069,47069,"Hardeman County, Tennessee",18313,196,3949,308,8715,398,3650,307,1233,210,766,175,17142,325,3678,292,8174,451,3353,311,1193,211,744,172,647,278,123,59,346,239,149,76,20,19,9,15,426,134,138,73,154,64,104,65,20,20,10,15,95,58,10,13,40,30,42,40,0,23,3,5,3,5,0,23,1,3,2,3,0,23,0,23
0500000US47071,47071,"Hardin County, Tennessee",18652,78,3700,383,7990,463,4558,360,1568,247,836,175,17262,294,3468,358,7464,495,4037,368,1484,245,809,171,824,235,164,70,368,169,241,117,51,40,0,23,296,133,55,44,128,66,105,91,8,15,0,23,262,133,13,23,30,33,167,124,25,28,27,32,8,18,0,23,0,23,8,18,0,23,0,23
0500000US47073,47073,"Hawkins County, Tennessee",40470,105,6866,550,17465,624,10813,632,3582,337,1744,251,36295,481,6187,504,15489,581,9924,617,3169,315,1526,248,2176,338,427,157,1112,228,399,148,189,81,49,39,1360,329,167,92,607,221,335,155,145,89,106,106,630,197,76,62,257,132,155,79,79,52,63,48,9,14,9,14,0,29,0,29,0,29,0,29
0500000US47075,47075,"Haywood County, Tennessee",12427,176,2381,327,5614,368,2896,285,966,192,570,129,11513,253,2192,287,5209,362,2654,272,908,183,550,129,520,171,109,84,266,112,86,55,39,28,20,22,286,106,69,49,90,56,115,81,12,15,0,19,45,43,4,8,2,6,32,39,7,11,0,19,63,41,7,11,47,35,9,15,0,19,0,19
0500000US47077,47077,"Henderson County, Tennessee",19337,152,3676,425,7769,564,5115,446,1904,319,873,197,17937,321,3281,412,7222,549,4807,472,1804,326,823,193,804,247,214,124,318,146,175,89,47,41,50,51,497,195,181,95,148,90,118,88,50,55,0,23,67,61,0,23,49,45,15,22,3,5,0,23,32,51,0,23,32,51,0,23,0,23,0,23
0500000US47079,47079,"Henry County, Tennessee",23243,106,3491,404,10852,578,5214,527,2074,334,1612,312,20943,367,3076,375,9642,601,4688,507,1952,313,1585,313,1434,294,234,91,769,179,346,148,75,64,10,11,333,101,61,43,165,69,87,43,15,25,5,8,524,206,116,93,273,130,93,70,32,29,10,12,9,13,4,8,3,5,0,26,0,26,2,4
0500000US47081,47081,"Hickman County, Tennessee",17137,129,3650,412,7471,543,4135,413,1196,278,685,186,15444,356,3197,377,6779,548,3723,420,1082,274,663,181,783,291,211,138,324,164,209,95,39,40,0,23,762,257,190,122,348,167,179,85,39,59,6,10,135,71,52,67,11,14,20,19,36,24,16,20,13,15,0,23,9,14,4,7,0,23,0,23
0500000US47083,47083,"Houston County, Tennessee",5714,72,1304,193,2647,206,1149,152,474,124,140,59,5068,217,1149,192,2462,219,919,135,411,127,127,57,252,92,102,56,55,38,78,44,15,13,2,5,247,157,22,26,112,122,76,41,26,23,11,16,147,89,31,32,18,17,76,74,22,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0500000US47085,47085,"Humphreys County, Tennessee",12890,148,2182,294,5721,350,3371,431,921,205,695,193,11424,322,1890,265,4952,311,3071,387,852,205,659,187,952,263,204,144,577,228,140,97,14,18,17,28,255,106,30,29,96,65,75,67,35,27,19,23,156,99,42,46,13,17,81,68,20,29,0,19,103,90,16,27,83,86,4,7,0,19,0,19
0500000US47087,47087,"Jackson County, Tennessee",8551,40,1897,227,3994,322,1971,247,409,100,280,87,7974,152,1720,225,3789,330,1827,236,374,96,264,87,242,85,81,43,95,57,38,27,18,14,10,17,253,116,86,51,67,56,87,53,7,14,6,12,64,39,6,11,39,32,19,20,0,19,0,19,18,22,4,9,4,8,0,19,10,15,0,19
0500000US47089,47089,"Jefferson County, Tennessee",37176,135,6157,578,14243,700,10744,639,3653,434,2379,323,32671,506,5479,586,12271,687,9452,633,3268,392,2201,335,1883,353,395,133,710,229,582,189,88,62,108,71,1591,299,161,84,840,262,374,110,169,103,47,38,971,310,120,93,389,229,329,119,110,69,23,18,60,48,2,4,33,36,7,12,18,29,0,29
0500000US47091,47091,"Johnson County, Tennessee",13489,41,3080,357,5546,351,3396,364,1029,211,438,139,11839,261,2664,354,4777,356,3028,346,983,210,387,136,564,216,99,56,290,123,151,132,24,25,0,19,680,119,229,60,309,90,123,47,19,28,0,19,373,152,88,72,151,83,94,74,3,6,37,45,33,34,0,19,19,25,0,19,0,19,14,24
0500000US47093,47093,"Knox County, Tennessee",300733,112,27332,1204,77908,1784,85694,1708,66004,1577,43795,1268,259982,1895,24042,1121,67961,1722,72981,1528,56909,1489,38089,1195,24188,1310,2125,419,6100,507,7910,704,5181,601,2872,370,7460,725,675,224,1970,346,2556,459,1473,333,786,191,8135,872,456,150,1741,393,2071,358,2141,376,1726,276,968,242,34,31,136,65,176,75,300,169,322,131
0500000US47095,47095,"Lake County, Tennessee",5666,71,1502,159,2618,202,1013,124,306,85,227,66,4661,151,1192,144,2162,197,852,115,245,74,210,62,165,61,55,38,91,43,10,13,9,9,0,17,751,115,216,61,347,90,119,52,52,35,17,19,81,53,31,25,18,28,32,37,0,17,0,17,8,11,8,11,0,17,0,17,0,17,0,17
0500000US47097,47097,"Lauderdale County, Tennessee",17960,41,4454,298,8000,432,3963,307,954,153,589,144,15289,306,3844,276,6720,429,3295,267,867,143,563,140,1162,176,202,80,477,116,412,148,57,39,14,16,1291,213,377,89,729,163,169,65,13,15,3,5,194,84,31,27,59,45,78,39,17,22,9,14,24,21,0,23,15,15,9,14,0,23,0,23
0500000US47099,47099,"Lawrence County, Tennessee",28675,61,5500,461,12473,493,7198,534,2035,297,1469,230,26429,328,5175,482,11496,524,6571,498,1838,299,1349,223,1471,272,182,75,742,179,390,123,80,45,77,57,372,141,59,50,93,56,121,82,61,50,38,42,373,136,57,35,139,93,116,49,56,42,5,6,30,32,27,31,3,5,0,26,0,26,0,26
0500000US47101,47101,"Lewis County, Tennessee",8530,132,1435,303,3656,386,2415,334,711,186,313,113,7863,276,1286,252,3397,388,2298,316,585,180,297,112,367,140,103,91,176,101,62,52,14,27,12,20,206,106,34,40,41,25,52,49,75,81,4,9,94,88,12,20,42,51,3,7,37,53,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US47103,47103,"Lincoln County, Tennessee",23620,91,4054,407,9707,462,5545,447,2865,340,1449,245,21005,398,3605,378,8722,466,4709,394,2646,334,1323,223,1406,294,241,101,663,216,332,126,143,78,27,31,504,252,38,36,183,118,193,188,28,42,62,67,662,269,166,111,121,73,300,147,38,29,37,41,43,41,4,8,18,27,11,19,10,18,0,26
0500000US47105,47105,"Loudon County, Tennessee",37341,170,5464,453,12576,765,9522,627,5991,551,3788,406,33275,661,5005,446,10923,691,8545,592,5298,553,3504,392,1627,397,239,104,788,247,370,134,208,109,22,19,1403,307,125,84,615,211,312,122,238,124,113,61,982,360,95,66,223,176,268,122,247,123,149,129,54,44,0,29,27,40,27,31,0,29,0,29
0500000US47107,47107,"McMinn County, Tennessee",36911,149,5923,460,16027,745,9291,587,3647,449,2023,304,33459,452,5202,426,14549,760,8436,536,3312,409,1960,289,1813,370,387,154,831,238,442,142,126,84,27,28,911,269,221,144,409,177,179,86,92,90,10,17,623,201,84,67,186,95,218,129,109,91,26,30,105,89,29,47,52,78,16,25,8,13,0,29
0500000US47109,47109,"McNairy County, Tennessee",18111,91,3593,402,7988,429,4313,354,1497,236,720,182,16993,242,3355,387,7458,412,4013,309,1456,239,711,181,500,119,148,68,274,88,65,30,13,18,0,23,225,122,44,43,139,93,22,17,12,10,8,9,367,177,38,31,105,59,207,147,16,17,1,2,26,22,8,11,12,16,6,8,0,23,0,23
0500000US47111,47111,"Macon County, Tennessee",15655,65,3303,328,7427,466,3418,366,871,206,636,228,13940,315,2780,310,6832,454,2905,321,841,208,582,216,966,294,315,193,302,145,315,133,11,18,23,30,497,188,162,96,240,149,79,60,13,20,3,7,252,132,46,52,53,44,119,99,6,10,28,37,0,23,0,23,0,23,0,23,0,23,0,23
0500000US47113,47113,"Madison County, Tennessee",64697,121,7257,577,22150,804,18393,868,11038,675,5859,465,58489,627,6526,556,20232,762,16190,760,10231,691,5310,443,3739,488,446,139,1205,294,1435,321,423,144,230,125,1730,328,250,102,567,202,464,152,220,91,229,154,708,272,25,24,134,82,304,234,155,59,90,64,31,32,10,13,12,24,0,29,9,13,0,29
0500000US47115,47115,"Marion County, Tennessee",20220,55,3790,388,7765,529,6035,432,1716,255,914,190,19174,216,3641,381,7399,537,5673,430,1584,241,877,188,632,148,121,56,282,127,194,88,27,44,8,15,221,101,28,31,19,23,117,67,41,40,16,17,193,97,0,23,65,55,51,53,64,66,13,21,0,23,0,23,0,23,0,23,0,23,0,23
0500000US47117,47117,"Marshall County, Tennessee",21771,136,3200,425,9455,502,6192,461,2104,327,820,167,19832,411,2766,359,8772,513,5583,466,1918,325,793,166,773,216,174,110,301,99,218,105,56,38,24,32,878,265,212,147,328,122,270,158,68,44,0,26,279,139,44,52,54,42,121,81,57,54,3,5,9,11,4,6,0,26,0,26,5,9,0,26
0500000US47119,47119,"Maury County, Tennessee",60140,142,6367,526,21830,850,19513,852,8403,601,4027,470,52083,781,5400,507,19200,817,16718,790,7158,573,3607,480,3943,563,589,194,1516,309,1200,295,498,157,140,70,2361,430,159,65,685,229,965,268,368,112,184,119,1556,392,110,103,398,217,599,179,369,197,80,41,197,145,109,131,31,28,31,54,10,16,16,26
0500000US47121,47121,"Meigs County, Tennessee",8549,50,1503,226,3929,309,2278,247,419,113,420,131,7812,208,1396,219,3569,307,2027,223,400,113,420,131,335,133,80,58,159,80,77,43,19,21,0,19,281,115,23,29,108,62,150,88,0,19,0,19,121,96,4,6,93,92,24,24,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US47123,47123,"Monroe County, Tennessee",32041,207,6991,622,13224,671,8067,620,2407,327,1352,252,27793,732,5946,640,11360,703,6940,585,2289,322,1258,253,2500,511,702,299,1164,316,581,198,43,54,10,18,866,280,197,105,269,146,287,144,60,43,53,51,863,292,146,121,416,209,259,136,15,20,27,31,19,27,0,26,15,25,0,26,0,26,4,10
